Brand,Model,Year,Category,Displacement (ccm),Power (hp),Torque (Nm),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder,URL
Yamaha,▷ Yamaha R1 GYTR 2025,2025,Unknown,998,200,Unknown,17,201,855,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/r1-gytr
Yamaha,▷ Yamaha TT,2023,Unknown,124,90,Unknown,6,90,805,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tt-r125
Yamaha,▷ Yamaha MT,2025,Unknown,890,119,93,14,196,825,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-09-y-amt
Yamaha,▷ Yamaha YZ250F Monster Energy Racing Edition 2025,2025,Unknown,250,105,Unknown,6.2,105,970,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250f-monster-energy-racing-edition
Yamaha,▷ Yamaha Tricity 125 ABS 2025,2025,Unknown,125,12,11.2,7.2,173,785,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tricity-125
Yamaha,▷ Yamaha Wolverine X4 850 SE 2025,2025,Unknown,847,823,Unknown,35,823,793,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/wolverine-x4-850-se
Yamaha,▷ Yamaha YZ125 2024,2024,Unknown,124.9,95,Unknown,7,95,975,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz125-2024
Yamaha,▷ Yamaha R7 2022,2025,Unknown,689,73,67,Unknown,188,Unknown,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yzf-r7
Yamaha,▷ Yamaha XMAX 125 2023,2023,Unknown,124.66,12,11,13.2,167,800,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xmax-125-2023
Yamaha,▷ Yamaha YZ450F 2024 50th Anniversary,2024,Unknown,449,109,Unknown,6.2,109,965,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz450f-2024-50th-anniversary
Yamaha,▷ Yamaha XSR700 2022,2024,Unknown,689,75,68,14,186,815,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xsr700
Yamaha,▷ Yamaha Tracer 9 Y,2025,Unknown,889,119,93,19,224,845,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-9-y-amt
Yamaha,▷ Yamaha YZ250 Monster Energy Racing Edition 2025,2025,Unknown,249,103,Unknown,7,103,975,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250-monster-energy-racing-edition
Yamaha,▷ Yamaha YZ250F 2024,2024,Unknown,250,105,Unknown,6.2,105,970,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250f-2024
Yamaha,▷ Yamaha YZF,2024,Unknown,321,42,29.6,14,169,780,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yzf-r3
Yamaha,▷ Yamaha YZ450F 2024,2024,Unknown,449,109,Unknown,6.2,109,965,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz450f-2024
Yamaha,▷ Yamaha NMAX 125 2025,2025,Unknown,125,12,11.2,7.1,132,770,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/nmax-125
Yamaha,▷ Yamaha YZ250F 2024 50th Anniversary,2024,Unknown,250,105,Unknown,6.2,105,970,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250f-2024-50th-anniversary
Yamaha,▷ Yamaha Tracer 9 2021,2024,Unknown,889,119,93,18,213,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-9-2021
Yamaha,▷ Yamaha Ténéré 700 World Rally 2023,2023,Unknown,689,73,68,23,219,890,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tenere-700-world-rally
Yamaha,▷ Yamaha Tricity 125 2022,2024,Unknown,125,12,11.2,7.2,168,785,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tricity-125-2022
Yamaha,▷ Yamaha TT,2023,Unknown,110,7,8,3.8,72,670,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tt-r110
Yamaha,▷ Yamaha MT,2025,Unknown,689,73,67,14,183,805,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-07
Yamaha,▷ Yamaha XMAX 125 Tech MAX 2023,2023,Unknown,124.66,12,11,13.2,167,800,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xmax-125-tech-max-2023
Yamaha,▷ Yamaha YZF,2024,Unknown,599,118,60,17,190,850,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/r6-race
Yamaha,▷ Yamaha YZ65 2023,2023,Unknown,65,61,Unknown,3.5,61,755,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz65-2023
Yamaha,▷ Yamaha XMAX 125 2025,2025,Unknown,125,12,11,13.2,167,800,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xmax-125
Yamaha,▷ Yamaha XSR125 Legacy 2023,2023,Unknown,124,15,11.5,11,160,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xsr125-legacy-2023
Yamaha,▷ Yamaha Tracer 9 GT+ Y,2025,Unknown,889,119,93,19,232,845,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tracer-9-gt-plus-y-amt
Yamaha,▷ Yamaha XMAX 300 2025,2025,Unknown,292,28.01,27.6,13.2,183,795,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xmax-300
Yamaha,▷ Yamaha RayZR 2024,2024,Unknown,125,8,9,5.2,99,785,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/rayzr
Yamaha,▷ Yamaha XSR900 2025,2025,Unknown,890,119,298,14,193,810,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xsr900
Yamaha,▷ Yamaha MT,2025,Unknown,689,73,67,14,186,805,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/mt-07-y-amt
Yamaha,▷ Yamaha YZ85 2025,2025,Unknown,85,75,Unknown,5,75,885,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz85-2025
Yamaha,▷ Yamaha YZ250 2024 50th Anniversary,2024,Unknown,249,103,Unknown,7,103,975,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz250-2024-50th-anniversary
Yamaha,▷ Yamaha XSR900 GP 2024,2024,Unknown,889,119,7.000,14,200,835,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/xsr900-gp-2024
Yamaha,▷ Yamaha PW50 2023,2023,Unknown,49,39,Unknown,2,39,485,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/pw50-2023
Yamaha,▷ Yamaha Ténéré 700 Extreme 2024,2024,Unknown,689,73,67,16,205,910,Unknown,Chain,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/tenere-700-extreme
Yamaha,▷ Yamaha YZ125 2023,2023,Unknown,124.9,95,Unknown,7,95,975,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.motofichas.com/marcas/yamaha/yz125-2023
