Brand,Model,Year,Category,Displacement (ccm),Power (hp),Fuel capacity (lts),Dry weight (kg),Seat height (mm),Torque (Nm),Cooling system,Transmission type,Gearbox,Engine stroke,Engine cylinder
tgb,blade 325le,2010,ATV,287.0,21.5,18.0,260.0,880.0,,Liquid,Chain,Automatic, four-stroke,Single cylinder
tgb,blade 425le,2010,ATV,403.0,30.0,18.0,260.0,880.0,,Liquid,Chain,Automatic, four-stroke,Single cylinder
tgb,blade 520,2021,ATV,503.0,39.0,18.0,350.0,914.0,47.1,Liquid,Belt,Automatic, four-stroke,Single cylinder
tgb,blade 525se,2010,ATV,503.0,41.5,18.0,332.0,920.0,,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
tgb,blade 550 lt,2011,ATV,503.0,41.0,,364.0,920.0,,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
tgb,blade 550i lt 4x4,2012,ATV,503.0,18.9,,364.0,920.0,31.5,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
tgb,blade 550se,2010,ATV,503.0,,,364.0,920.0,,Liquid,Shaft drive,Automatic, four-stroke,Single cylinder
tgb,blade 600 se,2021,ATV,561.0,42.1,18.0,387.0,914.0,56.6,Liquid,Belt,Automatic, four-stroke,Single cylinder
tgb,blade 600 se-x eps,2021,ATV,561.0,42.1,18.0,393.0,914.0,56.6,Liquid,Belt,Automatic, four-stroke,Single cylinder
tgb,bull 125 rs,2011,Scooter,124.0,8.6,6.8,118.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,bull 50 rs,2011,Scooter,49.3,4.7,6.8,95.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,bull t 50 rs,2022,Scooter,49.8,4.7,6.8,95.0,670.0,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,bullet 125,2010,Scooter,124.0,9.2,6.8,118.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,bullet 2.0 50,2012,Scooter,49.3,4.7,6.8,95.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,bullet 50,2010,Scooter,49.3,4.9,6.8,95.0,,,Air,Belt,Unknown, two-stroke,Single cylinder
tgb,bullet basic 50,2012,Scooter,49.3,4.7,6.8,95.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,bullet rr 50,2012,Scooter,49.3,4.7,6.8,95.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,bullet rs 50,2012,Scooter,49.3,4.7,6.8,95.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,cappuccio 50,2010,Scooter,49.6,2.7,5.1,99.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,delivery,2006,Scooter,151.0,10.1,10.4,121.0,,,Oil & air,Belt,Unknown, four-stroke,Single cylinder
tgb,delivery,2007,Scooter,49.3,4.9,6.8,105.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,delivery (125 cc),2007,Scooter,124.0,8.6,6.8,119.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,delivery (150 cc),2007,Scooter,151.0,10.1,10.4,121.0,,,Oil & air,Belt,Automatic, four-stroke,Single cylinder
tgb,delivery 151,2008,Scooter,151.1,10.1,,105.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,delivery 49,2008,Scooter,49.3,4.9,,105.0,,,Air,Belt,Automatic, two-stroke,Single cylinder
tgb,express 125,2008,Scooter,124.0,8.6,6.8,116.0,760.0,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,express 125,2010,Scooter,124.0,8.6,6.8,125.0,760.0,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,express 125,2011,Scooter,124.0,8.6,6.8,125.0,760.0,,Air,Belt,Automatic, four-stroke,Single cylinder
tgb,express 125,2012,Scooter,124.5,8.6,6.8,125.0,760.0,,Unknown,Belt,Automatic, four-stroke,Single cylinder
tgb,express 150,2022,Scooter,151.1,10.1,6.8,127.0,,,Air,Belt,Automatic, four-stroke,Single cylinder
